opsid,zplk_pk_seq,taxa_004,cruise_name,station,event_number,net_number,zoo_aliquot,zooplankton_count,conc_10m2,conc_100m3,vial_number,zoo_stage_000,zoo_stage_013,zoo_stage_020,zoo_stage_021,zoo_stage_022,zoo_stage_023,zoo_stage_024,zoo_stage_028,zoo_stage_029,zoo_stage_030,zoo_stage_050,zoo_stage_051,zoo_stage_054,zoo_stage_999,net_pk_seq,gear,gear_volume_filtered,sample_jar_count,sample_type,flowmeter_calibration_factor,flowmeter_revolutions,flag_region,flag_clogging,net_comment,event_pk_seq,operation,event_date,formated_event_date,latitude,longitude,region,region_nvl,plankton_stratum,groundfish_stratum,surface_temperature,surface_temperature_nvl,tow_profile,tow_protocol,tow_maximum_depth,bottom_depth_max_wire_out,bio_volume_zoo,bio_volume_zoo_1m2,bio_volume_zoo_100m3,bio_volume_large_conc_1m2,bio_volume_large_conc_100m3,total_zoo_count,total_large_zoo_count,total_large_zoo_length,large_zoo_mean_length,taxa_name
2011003HB,529040,101,HB1103,1,11,2,256,195,217923.57,22466.35,1,25,0,0,8,41,42,79,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Calanus finmarchicus
2011003HB,529046,102,HB1103,1,11,2,256,77,86051.87,8871.33,2,69,0,0,0,0,0,8,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Pseudocalanus minutus
2011003HB,529041,103,HB1103,1,11,2,256,22,24586.25,2534.66,3,14,0,0,0,0,3,5,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Centropages typicus
2011003HB,529047,104,HB1103,1,11,2,256,41,45819.83,4723.69,3,29,0,0,0,0,1,11,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Temora longicornis
2011003HB,529043,105,HB1103,1,11,2,256,16,17880.91,1843.39,3,7,0,0,0,0,2,7,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Metridia lucens
2011003HB,529045,135,HB1103,1,11,2,256,2,2235.11,230.42,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Paracalanus parvus
2011003HB,529056,138,HB1103,1,11,2,256,2,2235.11,230.42,3,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Oithona
2011003HB,529044,143,HB1103,1,11,2,256,1,1117.56,115.21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Nannocalanus minor
2011003HB,529042,157,HB1103,1,11,2,256,2,2235.11,230.42,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Clausocalanus arcuicornis
2011003HB,529058,176,HB1103,1,11,2,256,1,1117.56,115.21,3,,,,,,,,,,,,,,,72511,6B3Z,222.199,1,Z,0.3141,2421,1,N,Manual Load Prgm.,69979,BON/CTD,07:00.0,6/4/2011 9:07,40.2717,-69.065,SNE,SNE,23,1100,12,12,OBL,OT,97,101,48,20.95,21.6,,,652,,,,Pleuromamma borealis
